SPAID,DHSCC,FIPSCC,SPAYEAR,SPAFACID,ADM1CODE,ADM1NAME,SPAREGCO,SPAREGNA,SPATYPEC,SPATYPEN,SPAMANGC,SPAMANGN,SOURCE,LATNUM,LONGNUM,DATUM
NPSPA202100000001,NP,NP,2021.00000000000,1.00000000000,1.00000000000,Province 1,101.00000000000,Taplejung,7.00000000000,Health Post (HP),1.00000000000,Government/Public,GPS,27.42979800000,87.68310700000,WGS84
NPSPA202100000002,NP,NP,2021.00000000000,2.00000000000,1.00000000000,Province 1,101.00000000000,Taplejung,8.00000000000,Community Health Unit (CHU),1.00000000000,Government/Public,GPS,27.50476700000,87.73955800000,WGS84
NPSPA202100000003,NP,NP,2021.00000000000,3.00000000000,1.00000000000,Province 1,101.00000000000,Taplejung,8.00000000000,Community Health Unit (CHU),1.00000000000,Government/Public,GPS,27.55096200000,87.63060200000,WGS84
NPSPA202100000004,NP,NP,2021.00000000000,4.00000000000,1.00000000000,Province 1,101.00000000000,Taplejung,7.00000000000,Health Post (HP),1.00000000000,Government/Public,GPS,27.38389700000,87.60959700000,WGS84
NPSPA202100000005,NP,NP,2021.00000000000,5.00000000000,1.00000000000,Province 1,101.00000000000,Taplejung,8.00000000000,Community Health Unit (CHU),1.00000000000,Government/Public,GPS,27.36184500000,87.59495800000,WGS84
NPSPA202100000006,NP,NP,2021.00000000000,6.00000000000,1.00000000000,Province 1,101.00000000000,Taplejung,6.00000000000,Primary Health Care Center (PHCC),1.00000000000,Government/Public,GPS,27.36302800000,87.56135000000,WGS84
NPSPA202100000007,NP,NP,2021.00000000000,7.00000000000,1.00000000000,Province 1,101.00000000000,Taplejung,8.00000000000,Community Health Unit (CHU),1.00000000000,Government/Public,GPS,27.34599700000,87.56697700000,WGS84
NPSPA202100000008,NP,NP,2021.00000000000,8.00000000000,1.00000000000,Province 1,101.00000000000,Taplejung,8.00000000000,Community Health Unit (CHU),1.00000000000,Government/Public,GPS,27.42052700000,87.50035700000,WGS84
NPSPA202100000009,NP,NP,2021.00000000000,9.00000000000,1.00000000000,Province 1,101.00000000000,Taplejung,7.00000000000,Health Post (HP),1.00000000000,Government/Public,GPS,27.33698000000,87.59632300000,WGS84
NPSPA202100000010,NP,NP,2021.00000000000,10.00000000000,1.00000000000,Province 1,101.00000000000,Taplejung,9.00000000000,Urban Health Centre (UHC),1.00000000000,Government/Public,GPS,27.36763500000,87.63542800000,WGS84
NPSPA202100000011,NP,NP,2021.00000000000,11.00000000000,1.00000000000,Province 1,101.00000000000,Taplejung,9.00000000000,Urban Health Centre (UHC),1.00000000000,Government/Public,GPS,27.34979500000,87.64083200000,WGS84
NPSPA202100000012,NP,NP,2021.00000000000,12.00000000000,1.00000000000,Province 1,101.00000000000,Taplejung,5.00000000000,"Other hospital (private, not-state-owned)",3.00000000000,Private for profit,GPS,27.35482500000,87.66822000000,WGS84
NPSPA202100000013,NP,NP,2021.00000000000,13.00000000000,1.00000000000,Province 1,101.00000000000,Taplejung,2.00000000000,Provincial level hospital,1.00000000000,Government/Public,GPS,27.35912500000,87.67408000000,WGS84
NPSPA202100000014,NP,NP,2021.00000000000,14.00000000000,1.00000000000,Province 1,101.00000000000,Taplejung,9.00000000000,Urban Health Centre (UHC),1.00000000000,Government/Public,GPS,27.41488300000,87.72708200000,WGS84
NPSPA202100000015,NP,NP,2021.00000000000,15.00000000000,1.00000000000,Province 1,101.00000000000,Taplejung,7.00000000000,Health Post (HP),1.00000000000,Government/Public,GPS,27.31350000000,87.83109300000,WGS84
NPSPA202100000016,NP,NP,2021.00000000000,16.00000000000,1.00000000000,Province 1,101.00000000000,Taplejung,8.00000000000,Community Health Unit (CHU),1.00000000000,Government/Public,GPS,27.32230300000,87.84598000000,WGS84
NPSPA202100000017,NP,NP,2021.00000000000,17.00000000000,1.00000000000,Province 1,101.00000000000,Taplejung,6.00000000000,Primary Health Care Center (PHCC),1.00000000000,Government/Public,GPS,27.36194200000,87.84817000000,WGS84
NPSPA202100000018,NP,NP,2021.00000000000,18.00000000000,1.00000000000,Province 1,101.00000000000,Taplejung,7.00000000000,Health Post (HP),1.00000000000,Government/Public,GPS,27.34860200000,87.87448300000,WGS84
NPSPA202100000019,NP,NP,2021.00000000000,19.00000000000,1.00000000000,Province 1,102.00000000000,Sankhuwasabha,8.00000000000,Community Health Unit (CHU),1.00000000000,Government/Public,GPS,27.76860500000,87.36342200000,WGS84
NPSPA202100000020,NP,NP,2021.00000000000,20.00000000000,1.00000000000,Province 1,102.00000000000,Sankhuwasabha,8.00000000000,Community Health Unit (CHU),1.00000000000,Government/Public,GPS,27.57356300000,87.21544500000,WGS84
NPSPA202100000021,NP,NP,2021.00000000000,21.00000000000,1.00000000000,Province 1,102.00000000000,Sankhuwasabha,8.00000000000,Community Health Unit (CHU),1.00000000000,Government/Public,GPS,27.51830500000,87.35179300000,WGS84
NPSPA202100000022,NP,NP,2021.00000000000,22.00000000000,1.00000000000,Province 1,102.00000000000,Sankhuwasabha,6.00000000000,Primary Health Care Center (PHCC),1.00000000000,Government/Public,GPS,27.48384300000,87.10128700000,WGS84
NPSPA202100000023,NP,NP,2021.00000000000,23.00000000000,1.00000000000,Province 1,102.00000000000,Sankhuwasabha,7.00000000000,Health Post (HP),1.00000000000,Government/Public,GPS,27.48316500000,87.12818500000,WGS84
NPSPA202100000024,NP,NP,2021.00000000000,24.00000000000,1.00000000000,Province 1,102.00000000000,Sankhuwasabha,8.00000000000,Community Health Unit (CHU),1.00000000000,Government/Public,GPS,27.47210500000,87.27532800000,WGS84
NPSPA202100000025,NP,NP,2021.00000000000,25.00000000000,1.00000000000,Province 1,102.00000000000,Sankhuwasabha,2.00000000000,Provincial level hospital,1.00000000000,Government/Public,GPS,27.37377800000,87.20767700000,WGS84
NPSPA202100000026,NP,NP,2021.00000000000,26.00000000000,1.00000000000,Province 1,102.00000000000,Sankhuwasabha,9.00000000000,Urban Health Centre (UHC),1.00000000000,Government/Public,GPS,27.38111300000,87.15953200000,WGS84
NPSPA202100000027,NP,NP,2021.00000000000,27.00000000000,1.00000000000,Province 1,102.00000000000,Sankhuwasabha,9.00000000000,Urban Health Centre (UHC),1.00000000000,Government/Public,GPS,27.43133000000,87.18634500000,WGS84
NPSPA202100000028,NP,NP,2021.00000000000,28.00000000000,1.00000000000,Province 1,102.00000000000,Sankhuwasabha,5.00000000000,"Other hospital (private, not-state-owned)",3.00000000000,Private for profit,GPS,27.31893800000,87.19620500000,WGS84
NPSPA202100000029,NP,NP,2021.00000000000,29.00000000000,1.00000000000,Province 1,102.00000000000,Sankhuwasabha,9.00000000000,Urban Health Centre (UHC),1.00000000000,Government/Public,GPS,27.38017800000,87.33261300000,WGS84
NPSPA202100000030,NP,NP,2021.00000000000,30.00000000000,1.00000000000,Province 1,102.00000000000,Sankhuwasabha,9.00000000000,Urban Health Centre (UHC),1.00000000000,Government/Public,GPS,27.39198500000,87.29920200000,WGS84
NPSPA202100000031,NP,NP,2021.00000000000,31.00000000000,1.00000000000,Province 1,102.00000000000,Sankhuwasabha,9.00000000000,Urban Health Centre (UHC),1.00000000000,Government/Public,GPS,27.33326800000,87.22110800000,WGS84
NPSPA202100000032,NP,NP,2021.00000000000,32.00000000000,1.00000000000,Province 1,102.00000000000,Sankhuwasabha,7.00000000000,Health Post (HP),1.00000000000,Government/Public,GPS,27.33702200000,87.29288700000,WGS84
NPSPA202100000033,NP,NP,2021.00000000000,33.00000000000,1.00000000000,Province 1,102.00000000000,Sankhuwasabha,8.00000000000,Community Health Unit (CHU),1.00000000000,Government/Public,GPS,27.29518800000,87.33714000000,WGS84
NPSPA202100000034,NP,NP,2021.00000000000,34.00000000000,1.00000000000,Province 1,102.00000000000,Sankhuwasabha,6.00000000000,Primary Health Care Center (PHCC),1.00000000000,Government/Public,GPS,27.29594000000,87.31900800000,WGS84
NPSPA202100000035,NP,NP,2021.00000000000,35.00000000000,1.00000000000,Province 1,102.00000000000,Sankhuwasabha,9.00000000000,Urban Health Centre (UHC),1.00000000000,Government/Public,GPS,27.26434300000,87.23364200000,WGS84
NPSPA202100000036,NP,NP,2021.00000000000,36.00000000000,1.00000000000,Province 1,102.00000000000,Sankhuwasabha,9.00000000000,Urban Health Centre (UHC),1.00000000000,Government/Public,GPS,27.20610700000,87.46597800000,WGS84
NPSPA202100000037,NP,NP,2021.00000000000,37.00000000000,1.00000000000,Province 1,102.00000000000,Sankhuwasabha,9.00000000000,Urban Health Centre (UHC),1.00000000000,Government/Public,GPS,27.19827500000,87.35040800000,WGS84
NPSPA202100000038,NP,NP,2021.00000000000,38.00000000000,1.00000000000,Province 1,102.00000000000,Sankhuwasabha,7.00000000000,Health Post (HP),1.00000000000,Government/Public,GPS,27.24177700000,87.32728200000,WGS84
NPSPA202100000039,NP,NP,2021.00000000000,39.00000000000,1.00000000000,Province 1,102.00000000000,Sankhuwasabha,9.00000000000,Urban Health Centre (UHC),1.00000000000,Government/Public,GPS,27.19148200000,87.30883800000,WGS84
NPSPA202100000040,NP,NP,2021.00000000000,40.00000000000,1.00000000000,Province 1,103.00000000000,Solukhumbu,5.00000000000,"Other hospital (private, not-state-owned)",3.00000000000,Private for profit,GPS,27.82359300000,86.70478000000,WGS84
NPSPA202100000041,NP,NP,2021.00000000000,41.00000000000,1.00000000000,Province 1,103.00000000000,Solukhumbu,8.00000000000,Community Health Unit (CHU),1.00000000000,Government/Public,GPS,27.54191300000,86.81606200000,WGS84
NPSPA202100000042,NP,NP,2021.00000000000,42.00000000000,1.00000000000,Province 1,103.00000000000,Solukhumbu,8.00000000000,Community Health Unit (CHU),1.00000000000,Government/Public,GPS,27.52526200000,86.84205200000,WGS84
NPSPA202100000043,NP,NP,2021.00000000000,43.00000000000,1.00000000000,Province 1,103.00000000000,Solukhumbu,3.00000000000,Local level hospital,1.00000000000,Government/Public,GPS,27.48988800000,86.77913800000,WGS84
NPSPA202100000044,NP,NP,2021.00000000000,44.00000000000,1.00000000000,Province 1,103.00000000000,Solukhumbu,8.00000000000,Community Health Unit (CHU),1.00000000000,Government/Public,GPS,27.44785000000,86.79056300000,WGS84
NPSPA202100000045,NP,NP,2021.00000000000,45.00000000000,1.00000000000,Province 1,103.00000000000,Solukhumbu,7.00000000000,Health Post (HP),1.00000000000,Government/Public,GPS,27.49967300000,86.70733700000,WGS84
